site_id,x,y,species,count,trait_cont1,trait_cont2,trait_cont3,trait_cont4,trait_cont5,trait_cont6,trait_cont7,trait_cont8,trait_cont9,trait_cont10,trait_cat11,trait_cat12,trait_cat13,trait_cat14,trait_cat15,trait_ord16,trait_ord17,trait_bin18,trait_bin19,trait_ord20,env1,env2,env3,env4,env5,env6,env7,env8,env9,env10,cat11_num
1026,28.75,-22.25004238,Acraea horta,10,0.829612087,0.811476262,-0.922127018,-0.684189584,0.07152258,0.159641798,0.203532471,-0.424500496,0.149274669,-0.577216122,wetland,diurnal,bivoltine,detritivore,migratory,4,1,1,1,medium,2.203028783,0.64716314,-0.491098088,-0.793453116,0.821638077,1.545075039,0.418599859,-1.050378615,-0.053664689,0.932978196,-1
1026,28.75,-22.25004238,Amata cerbera,0,0.874150827,-0.106060744,0.497590772,-0.281943388,-0.995454068,0.642807848,-0.606011024,-0.610647712,-0.293299245,0.099240827,forest,nocturnal,multivoltine,detritivore,resident,1,4,1,0,large,2.203028783,0.64716314,-0.491098088,-0.793453116,0.821638077,1.545075039,0.418599859,-1.050378615,-0.053664689,0.932978196,1
1026,28.75,-22.25004238,Bicyclus safitza safitza,0,-0.42772093,0.67200852,0.35455366,0.291263757,0.217874905,-0.772562782,0.070473221,0.568218765,0.094852156,-0.036037103,wetland,diurnal,univoltine,generalist,resident,4,4,1,1,medium,2.203028783,0.64716314,-0.491098088,-0.793453116,0.821638077,1.545075039,0.418599859,-1.050378615,-0.053664689,0.932978196,-1
1026,28.75,-22.25004238,Cacyreus lingeus,0,0.660895252,0.475191236,-0.657471339,0.551646725,0.673603119,0.529015517,-0.640888521,-0.742255677,0.785437188,-0.681060291,wetland,nocturnal,multivoltine,nectarivore,migratory,3,3,0,0,medium,2.203028783,0.64716314,-0.491098088,-0.793453116,0.821638077,1.545075039,0.418599859,-1.050378615,-0.053664689,0.932978196,-1
1026,28.75,-22.25004238,Charaxes wakefieldi,9,0.283491038,0.622110283,-0.477824072,0.127293683,0.503045125,0.247226914,-0.096227011,-0.741821433,-0.020018859,-0.70084201,forest,nocturnal,bivoltine,generalist,migratory,4,2,1,0,medium,2.203028783,0.64716314,-0.491098088,-0.793453116,0.821638077,1.545075039,0.418599859,-1.050378615,-0.053664689,0.932978196,1
1026,28.75,-22.25004238,Danaus chrysippus orientis,8,0.038191898,-0.223783434,0.028825869,-0.532593203,-0.094536855,-0.703106787,-0.365893296,-0.855493777,-0.656735774,-0.001454239,grassland,diurnal,univoltine,detritivore,migratory,1,4,1,1,medium,2.203028783,0.64716314,-0.491098088,-0.793453116,0.821638077,1.545075039,0.418599859,-1.050378615,-0.053664689,0.932978196,0
1026,28.75,-22.25004238,Dira clytus clytus,8,0.473176629,0.370339459,0.351214549,-0.820038967,0.071579988,-0.839471067,-0.767650659,-0.893741033,0.086061988,0.881129756,forest,diurnal,bivoltine,detritivore,resident,1,3,1,1,large,2.203028783,0.64716314,-0.491098088,-0.793453116,0.821638077,1.545075039,0.418599859,-1.050378615,-0.053664689,0.932978196,1
1026,28.75,-22.25004238,Eutricha capensis,3,-0.730666806,-0.992103322,0.965634396,-0.82877587,0.074753391,-0.071860897,-0.627795686,0.063748873,0.922935392,-0.331537347,wetland,nocturnal,bivoltine,nectarivore,migratory,4,5,1,1,small,2.203028783,0.64716314,-0.491098088,-0.793453116,0.821638077,1.545075039,0.418599859,-1.050378615,-0.053664689,0.932978196,-1
1026,28.75,-22.25004238,Hypolimnas misippus,19,0.313984581,0.665832161,0.519088535,-0.389563261,-0.997238313,0.558736323,0.459460193,-0.775383517,-0.372632356,-0.623131341,forest,diurnal,univoltine,nectarivore,resident,1,4,0,0,large,2.203028783,0.64716314,-0.491098088,-0.793453116,0.821638077,1.545075039,0.418599859,-1.050378615,-0.053664689,0.932978196,1
1026,28.75,-22.25004238,Junonia elgiva,0,0.410129568,-0.985331706,0.132976848,0.334853029,-0.288668092,0.467055919,-0.176255858,0.486375439,0.641029096,-0.460567643,grassland,nocturnal,multivoltine,generalist,migratory,1,3,0,1,medium,2.203028783,0.64716314,-0.491098088,-0.793453116,0.821638077,1.545075039,0.418599859,-1.050378615,-0.053664689,0.932978196,0
1026,28.75,-22.25004238,Junonia natalica natalica,9,-0.084516448,-0.584682054,0.699379437,-0.999522207,0.22426618,0.634460889,-0.171900637,0.462630955,-0.385891199,0.061488156,grassland,nocturnal,univoltine,detritivore,migratory,3,1,0,1,large,2.203028783,0.64716314,-0.491098088,-0.793453116,0.821638077,1.545075039,0.418599859,-1.050378615,-0.053664689,0.932978196,0
1026,28.75,-22.25004238,Junonia oenone oenone,9,0.438224503,0.813202816,-0.621052129,-0.582860086,0.657884261,-0.659675037,-0.039379742,0.770235374,-0.629092838,-0.957099543,grassland,nocturnal,bivoltine,generalist,migratory,1,3,0,0,medium,2.203028783,0.64716314,-0.491098088,-0.793453116,0.821638077,1.545075039,0.418599859,-1.050378615,-0.053664689,0.932978196,0
